ignore,id,doc,toc,year,filcount,discount
522,12117,1,5,1986,195,404
523,12061,1,8,1986,6,11
524,12061,1,7,1986,1,0
525,12061,1,1,1986,81,77
526,12061,1,6,1986,36,24
527,12061,1,2,1986,3,2
528,12061,1,3,1986,135,118
529,12061,1,9,1986,238,234
530,12061,1,4,1986,3,1
531,12061,1,5,1986,198,204
532,12085,1,8,1986,8,22
533,12085,1,7,1986,6,14
534,12085,1,1,1986,199,199
535,12085,1,6,1986,70,72
536,12085,1,2,1986,12,14
537,12085,1,3,1986,362,521
538,12085,1,9,1986,283,282
539,12085,1,4,1986,15,13
540,12085,1,5,1986,131,261
541,12093,1,8,1986,1,5
542,12093,1,7,1986,0,1
543,12093,1,1,1986,39,23
544,12093,1,6,1986,29,37
545,12093,1,2,1986,1,2
546,12093,1,3,1986,70,59
547,12093,1,9,1986,100,90
548,12093,1,4,1986,1,0
549,12093,1,5,1986,45,35
550,12111,1,8,1986,15,10
551,12111,1,7,1986,1,0
552,12111,1,1,1986,217,128
553,12111,1,6,1986,70,55
554,12111,1,2,1986,2,0
555,12111,1,3,1986,171,88
556,12111,1,9,1986,472,402
557,12111,1,4,1986,0,0
558,12111,1,5,1986,239,199
559,12015,1,8,1986,2,5
560,12015,1,7,1986,2,3
561,12015,1,1,1986,58,49
562,12015,1,6,1986,34,43
563,12015,1,2,1986,7,0
564,12015,1,3,1986,194,181
565,12015,1,9,1986,281,234
566,12015,1,4,1986,13,14
567,12015,1,5,1986,145,165
568,12021,1,8,1986,16,54
569,12021,1,7,1986,7,0
570,12021,1,1,1986,156,138
571,12021,1,6,1986,40,45
572,12021,1,2,1986,10,1
573,12021,1,3,1986,545,571
574,12021,1,9,1986,589,614
575,12021,1,4,1986,199,96
576,12021,1,5,1986,332,354
577,12043,1,8,1986,0,0
578,12043,1,7,1986,0,0
579,12043,1,1,1986,2,2
580,12043,1,6,1986,3,3
581,12043,1,2,1986,0,0
582,12043,1,3,1986,6,0
583,12043,1,9,1986,26,25
584,12043,1,4,1986,0,0
585,12043,1,5,1986,17,9
586,12051,1,8,1986,1,0
587,12051,1,7,1986,1,0
588,12051,1,1,1986,13,11
589,12051,1,6,1986,14,11
590,12051,1,2,1986,0,3
591,12051,1,3,1986,66,41
592,12051,1,9,1986,84,63
593,12051,1,4,1986,0,0
594,12051,1,5,1986,47,46
595,12071,1,8,1986,8,4
596,12071,1,7,1986,8,2
597,12071,1,1,1986,386,182
598,12071,1,6,1986,164,171
599,12071,1,2,1986,9,0
600,12071,1,3,1986,1322,1236
601,12071,1,9,1986,1138,950
602,12071,1,4,1986,10,12
603,12071,1,5,1986,443,507
604,12033,2,2,1986,13,19
605,12033,2,4,1986,20,10
606,12033,2,9,1986,218,188
607,12033,2,8,1986,159,134
608,12033,2,5,1986,738,874
609,12033,2,1,1986,7,84
610,12033,2,10,1986,1187,1439
611,12033,2,11,1986,1417,1326
612,12033,2,6,1986,842,821
613,12033,2,3,1986,612,653
614,12033,2,7,1986,244,296
615,12091,2,2,1986,1,0
616,12091,2,4,1986,3,2
617,12091,2,9,1986,22,28
618,12091,2,8,1986,14,14
619,12091,2,5,1986,124,110
620,12091,2,1,1986,169,164
621,12091,2,10,1986,278,260
622,12091,2,11,1986,67,22
623,12091,2,6,1986,26,40
624,12091,2,3,1986,147,122
625,12091,2,7,1986,134,286
626,12113,2,2,1986,2,5
627,12113,2,4,1986,3,5
628,12113,2,9,1986,42,40
629,12113,2,8,1986,6,8
630,12113,2,5,1986,92,93
631,12113,2,1,1986,148,100
632,12113,2,10,1986,158,132
633,12113,2,11,1986,34,23
634,12113,2,6,1986,23,60
635,12113,2,3,1986,72,115
636,12113,2,7,1986,55,57
637,12131,2,2,1986,3,1
638,12131,2,4,1986,3,3
639,12131,2,9,1986,15,15
640,12131,2,8,1986,9,5
641,12131,2,5,1986,88,83
642,12131,2,1,1986,66,47
643,12131,2,10,1986,75,94
644,12131,2,11,1986,76,57
645,12131,2,6,1986,9,15
646,12131,2,3,1986,58,65
647,12131,2,7,1986,57,78
648,12037,2,2,1986,0,1
649,12037,2,4,1986,0,0
650,12037,2,9,1986,2,2
651,12037,2,8,1986,0,0
652,12037,2,5,1986,15,21
653,12037,2,1,1986,19,9
654,12037,2,10,1986,20,32
655,12037,2,11,1986,7,8
656,12037,2,6,1986,1,3
657,12037,2,3,1986,43,31
658,12037,2,7,1986,32,28
659,12039,2,2,1986,2,0
660,12039,2,4,1986,3,5
661,12039,2,9,1986,22,22
662,12039,2,8,1986,11,17
663,12039,2,5,1986,105,112
664,12039,2,1,1986,77,211
665,12039,2,10,1986,73,149
666,12039,2,11,1986,28,60
667,12039,2,6,1986,11,32
668,12039,2,3,1986,53,43
669,12039,2,7,1986,66,196
670,12065,2,2,1986,0,1
671,12065,2,4,1986,3,2
672,12065,2,9,1986,7,2
673,12065,2,8,1986,2,3
674,12065,2,5,1986,28,24
675,12065,2,1,1986,39,32
676,12065,2,10,1986,22,14
677,12065,2,11,1986,4,8
678,12065,2,6,1986,1,0
679,12065,2,3,1986,19,17
680,12065,2,7,1986,8,15
681,12073,2,2,1986,2,2
682,12073,2,4,1986,26,10
683,12073,2,9,1986,53,49
684,12073,2,8,1986,70,40
