ignore,id,doc,toc,variable,value
722,12023,2,6,1986,24
723,12023,2,3,1986,81
724,12023,2,7,1986,27
725,12029,2,2,1986,3
726,12029,2,4,1986,3
727,12029,2,9,1986,4
728,12029,2,8,1986,0
729,12029,2,5,1986,17
730,12029,2,1,1986,13
731,12029,2,10,1986,15
732,12029,2,11,1986,4
733,12029,2,6,1986,1
734,12029,2,3,1986,15
735,12029,2,7,1986,11
736,12047,2,2,1986,0
737,12047,2,4,1986,2
738,12047,2,9,1986,4
739,12047,2,8,1986,9
740,12047,2,5,1986,37
741,12047,2,1,1986,18
742,12047,2,10,1986,21
743,12047,2,11,1986,3
744,12047,2,6,1986,7
745,12047,2,3,1986,18
746,12047,2,7,1986,20
747,12067,2,2,1986,0
748,12067,2,4,1986,1
749,12067,2,9,1986,1
750,12067,2,8,1986,0
751,12067,2,5,1986,10
752,12067,2,1,1986,7
753,12067,2,10,1986,7
754,12067,2,11,1986,1
755,12067,2,6,1986,0
756,12067,2,3,1986,2
757,12067,2,7,1986,9
758,12079,2,2,1986,1
759,12079,2,4,1986,0
760,12079,2,9,1986,13
761,12079,2,8,1986,11
762,12079,2,5,1986,28
763,12079,2,1,1986,29
764,12079,2,10,1986,38
765,12079,2,11,1986,3
766,12079,2,6,1986,10
767,12079,2,3,1986,44
768,12079,2,7,1986,12
769,12121,2,2,1986,2
770,12121,2,4,1986,4
771,12121,2,9,1986,16
772,12121,2,8,1986,2
773,12121,2,5,1986,33
774,12121,2,1,1986,36
775,12121,2,10,1986,42
776,12121,2,11,1986,14
777,12121,2,6,1986,15
778,12121,2,3,1986,24
779,12121,2,7,1986,25
780,12123,2,2,1986,2
781,12123,2,4,1986,2
782,12123,2,9,1986,5
783,12123,2,8,1986,9
784,12123,2,5,1986,34
785,12123,2,1,1986,36
786,12123,2,10,1986,58
787,12123,2,11,1986,35
788,12123,2,6,1986,10
789,12123,2,3,1986,49
790,12123,2,7,1986,20
791,12019,2,2,1986,3
792,12019,2,4,1986,7
793,12019,2,9,1986,32
794,12019,2,8,1986,6
795,12019,2,5,1986,115
796,12019,2,1,1986,88
797,12019,2,10,1986,133
798,12019,2,11,1986,271
799,12019,2,6,1986,14
800,12019,2,3,1986,82
801,12019,2,7,1986,71
802,12031,2,2,1986,76
803,12031,2,4,1986,147
804,12031,2,9,1986,209
805,12031,2,8,1986,457
806,12031,2,5,1986,291
807,12031,2,1,1986,884
808,12031,2,10,1986,1689
809,12031,2,11,1986,2598
810,12031,2,6,1986,278
811,12031,2,3,1986,986
812,12031,2,7,1986,380
813,12089,2,2,1986,0
814,12089,2,4,1986,0
815,12089,2,9,1986,14
816,12089,2,8,1986,2
817,12089,2,5,1986,48
818,12089,2,1,1986,15
819,12089,2,10,1986,63
820,12089,2,11,1986,30
821,12089,2,6,1986,83
822,12089,2,3,1986,44
823,12089,2,7,1986,35
824,12017,2,2,1986,2
825,12017,2,4,1986,3
826,12017,2,9,1986,25
827,12017,2,8,1986,8
828,12017,2,5,1986,59
829,12017,2,1,1986,76
830,12017,2,10,1986,110
831,12017,2,11,1986,22
832,12017,2,6,1986,5
833,12017,2,3,1986,59
834,12017,2,7,1986,27
835,12053,2,2,1986,3
836,12053,2,4,1986,5
837,12053,2,9,1986,26
838,12053,2,8,1986,25
839,12053,2,5,1986,86
840,12053,2,1,1986,78
841,12053,2,10,1986,97
842,12053,2,11,1986,22
843,12053,2,6,1986,5
844,12053,2,3,1986,31
845,12053,2,7,1986,28
846,12069,2,2,1986,4
847,12069,2,4,1986,7
848,12069,2,9,1986,37
849,12069,2,8,1986,43
850,12069,2,5,1986,118
851,12069,2,1,1986,184
852,12069,2,10,1986,246
853,12069,2,11,1986,101
854,12069,2,6,1986,15
855,12069,2,3,1986,162
856,12069,2,7,1986,142
857,12083,2,2,1986,3
858,12083,2,4,1986,8
859,12083,2,9,1986,54
860,12083,2,8,1986,67
861,12083,2,5,1986,201
862,12083,2,1,1986,335
863,12083,2,10,1986,451
864,12083,2,11,1986,356
865,12083,2,6,1986,30
866,12083,2,3,1986,327
867,12083,2,7,1986,188
868,12119,2,2,1986,1
869,12119,2,4,1986,1
870,12119,2,9,1986,6
871,12119,2,8,1986,17
872,12119,2,5,1986,55
873,12119,2,1,1986,45
