id,group,year,population
12131,5,1986,1842
12131,6,1986,1592
12131,7,1986,3744
12131,8,1986,3294
12131,9,1986,2833
12131,10,1986,3410
12131,11,1986,2708
12131,12,1986,1233
12131,13,1986,315
12133,1,1986,191
12133,2,1986,860
12133,3,1986,1097
12133,4,1986,1174
12133,5,1986,1244
12133,6,1986,1038
12133,7,1986,2081
12133,8,1986,1971
12133,9,1986,1603
12133,10,1986,1818
12133,11,1986,1592
12133,12,1986,857
12133,13,1986,218
12001,1,1987,2572
12001,2,1987,8859
12001,3,1987,10979
12001,4,1987,9411
12001,5,1987,17910
12001,6,1987,28934
12001,7,1987,33259
12001,8,1987,22920
12001,9,1987,13017
12001,10,1987,11313
12001,11,1987,9129
12001,12,1987,4676
12001,13,1987,1399
12003,1,1987,286
12003,2,1987,1109
12003,3,1987,1534
12003,4,1987,1424
12003,5,1987,1496
12003,6,1987,1380
12003,7,1987,3166
12003,8,1987,2537
12003,9,1987,1623
12003,10,1987,1302
12003,11,1987,849
12003,12,1987,432
12003,13,1987,115
12005,1,1987,1960
12005,2,1987,7036
12005,3,1987,8817
12005,4,1987,8126
12005,5,1987,9185
12005,6,1987,9545
12005,7,1987,21788
12005,8,1987,16904
12005,9,1987,12256
12005,10,1987,11889
12005,11,1987,8993
12005,12,1987,3936
12005,13,1987,932
12007,1,1987,320
12007,2,1987,1168
12007,3,1987,1578
12007,4,1987,1483
12007,5,1987,1626
12007,6,1987,1670
12007,7,1987,4385
12007,8,1987,3274
12007,9,1987,2282
12007,10,1987,2068
12007,11,1987,1621
12007,12,1987,801
12007,13,1987,211
12009,1,1987,4898
12009,2,1987,18347
12009,3,1987,22256
12009,4,1987,20300
12009,5,1987,23992
12009,6,1987,25282
12009,7,1987,61838
12009,8,1987,47569
12009,9,1987,36806
12009,10,1987,41673
12009,11,1987,37441
12009,12,1987,15806
12009,13,1987,3646
12011,1,1987,15700
12011,2,1987,55863
12011,3,1987,66528
12011,4,1987,60508
12011,5,1987,66836
12011,6,1987,77514
12011,7,1987,201710
12011,8,1987,162619
12011,9,1987,109153
12011,10,1987,116016
12011,11,1987,136100
12011,12,1987,91224
12011,13,1987,20899
12013,1,1987,148
12013,2,1987,566
12013,3,1987,720
12013,4,1987,728
12013,5,1987,787
12013,6,1987,736
12013,7,1987,1559
12013,8,1987,1254
12013,9,1987,980
12013,10,1987,916
12013,11,1987,816
12013,12,1987,497
12013,13,1987,136
12015,1,1987,758
12015,2,1987,3205
12015,3,1987,3921
12015,4,1987,3692
12015,5,1987,4160
12015,6,1987,3902
12015,7,1987,9820
12015,8,1987,8970
12015,9,1987,7575
12015,10,1987,14841
12015,11,1987,19485
12015,12,1987,9416
12015,13,1987,2035
12017,1,1987,765
12017,2,1987,3172
12017,3,1987,4069
12017,4,1987,3969
12017,5,1987,4043
12017,6,1987,3418
12017,7,1987,8826
12017,8,1987,8555
12017,9,1987,7585
12017,10,1987,13048
12017,11,1987,16619
12017,12,1987,7506
12017,13,1987,1533
12019,1,1987,1503
12019,2,1987,5821
12019,3,1987,7881
12019,4,1987,7762
12019,5,1987,8052
12019,6,1987,6560
12019,7,1987,16551
12019,8,1987,16309
12019,9,1987,10149
12019,10,1987,7228
12019,11,1987,4840
12019,12,1987,2321
12019,13,1987,763
12021,1,1987,1851
12021,2,1987,6040
12021,3,1987,7223
12021,4,1987,6524
12021,5,1987,7083
12021,6,1987,7847
12021,7,1987,19075
12021,8,1987,15804
12021,9,1987,11913
12021,10,1987,16317
12021,11,1987,18242
12021,12,1987,8330
12021,13,1987,1663
12023,1,1987,620
12023,2,1987,2475
12023,3,1987,3256
12023,4,1987,3030
12023,5,1987,3323
12023,6,1987,2792
12023,7,1987,6252
12023,8,1987,5465
12023,9,1987,3982
12023,10,1987,3947
12023,11,1987,3223
12023,12,1987,1456
12023,13,1987,349
12086,1,1987,29668
12086,2,1987,98788
12086,3,1987,119821
12086,4,1987,109902
12086,5,1987,130777
12086,6,1987,140805
12086,7,1987,314448
12086,8,1987,250719
12086,9,1987,191485
12086,10,1987,181593
12086,11,1987,145697
12086,12,1987,90791
12086,13,1987,26566
12027,1,1987,382
12027,2,1987,1152
12027,3,1987,1453
12027,4,1987,1414
12027,5,1987,1685
12027,6,1987,1673
12027,7,1987,3344
12027,8,1987,2698
12027,9,1987,2051
12027,10,1987,2357
12027,11,1987,2582
12027,12,1987,1278
12027,13,1987,294
12029,1,1987,141
12029,2,1987,511
12029,3,1987,676
12029,4,1987,649
12029,5,1987,682
12029,6,1987,624
12029,7,1987,1393
12029,8,1987,1288
12029,9,1987,1034
12029,10,1987,1183
12029,11,1987,896
12029,12,1987,360
12029,13,1987,81
12031,1,1987,12231
12031,2,1987,39935
12031,3,1987,48444
12031,4,1987,41651
12031,5,1987,47628
12031,6,1987,58829
12031,7,1987,127022
12031,8,1987,91657
12031,9,1987,59180
12031,10,1987,54776
12031,11,1987,41512
12031,12,1987,20389
12031,13,1987,5625
12033,1,1987,4278
12033,2,1987,15225
12033,3,1987,18840
12033,4,1987,17426
12033,5,1987,21798
12033,6,1987,24129
12033,7,1987,45741
12033,8,1987,35050
12033,9,1987,25932
12033,10,1987,24478
12033,11,1987,18380
12033,12,1987,8516
12033,13,1987,2299
12035,1,1987,198
12035,2,1987,894
12035,3,1987,1095
12035,4,1987,1070
12035,5,1987,1091
12035,6,1987,947
12035,7,1987,2407
12035,8,1987,2372
12035,9,1987,1884
12035,10,1987,3444
12035,11,1987,3760
12035,12,1987,1044
12035,13,1987,210
12037,1,1987,129
12037,2,1987,458
12037,3,1987,598
12037,4,1987,585
12037,5,1987,663
12037,6,1987,506
12037,7,1987,1180
12037,8,1987,1083
12037,9,1987,988
12037,10,1987,1031
12037,11,1987,890
12037,12,1987,464
12037,13,1987,143
12039,1,1987,686
12039,2,1987,2699
12039,3,1987,3695
12039,4,1987,3418
12039,5,1987,3605
12039,6,1987,3173
12039,7,1987,6704
12039,8,1987,5321
12039,9,1987,3917
12039,10,1987,3692
12039,11,1987,3049
12039,12,1987,1718
12039,13,1987,506
12041,1,1987,125
12041,2,1987,433
12041,3,1987,571
12041,4,1987,534
12041,5,1987,922
12041,6,1987,719
12041,7,1987,1116
12041,8,1987,1082
12041,9,1987,811
12041,10,1987,868
12041,11,1987,709
12041,12,1987,279
12041,13,1987,87
12043,1,1987,74
12043,2,1987,394
12043,3,1987,489
12043,4,1987,465
12043,5,1987,494
12043,6,1987,373
12043,7,1987,881
12043,8,1987,799
12043,9,1987,769
12043,10,1987,962
12043,11,1987,860
12043,12,1987,358
12043,13,1987,67
12045,1,1987,159
12045,2,1987,596
12045,3,1987,799
12045,4,1987,803
12045,5,1987,938
12045,6,1987,768
12045,7,1987,1731
12045,8,1987,1398
12045,9,1987,1235
12045,10,1987,1325
12045,11,1987,1000
12045,12,1987,498
12045,13,1987,120
12047,1,1987,138
12047,2,1987,617
12047,3,1987,772
12047,4,1987,811
12047,5,1987,884
12047,6,1987,796
12047,7,1987,1636
12047,8,1987,1251
12047,9,1987,853
12047,10,1987,784
12047,11,1987,670
12047,12,1987,385
12047,13,1987,95
12049,1,1987,363
12049,2,1987,1255
12049,3,1987,1658
12049,4,1987,1566
12049,5,1987,1660
12049,6,1987,1404
12049,7,1987,2860
12049,8,1987,2354
12049,9,1987,1802
12049,10,1987,1863
12049,11,1987,1729
12049,12,1987,833
12049,13,1987,209
12051,1,1987,513
12051,2,1987,1711
12051,3,1987,2136
12051,4,1987,2008
12051,5,1987,2065
12051,6,1987,1835
12051,7,1987,3884
12051,8,1987,3057
12051,9,1987,2292
12051,10,1987,2109
12051,11,1987,1597
12051,12,1987,747
12051,13,1987,174
12053,1,1987,790
12053,2,1987,3420
12053,3,1987,4352
12053,4,1987,4125
12053,5,1987,4469
12053,6,1987,3594
12053,7,1987,8946
12053,8,1987,8874
12053,9,1987,7206
12053,10,1987,12980
12053,11,1987,17287
12053,12,1987,6448
12053,13,1987,1228
12055,1,1987,739
12055,2,1987,2571
12055,3,1987,3392
12055,4,1987,3126
12055,5,1987,3306
12055,6,1987,2811
12055,7,1987,6817
12055,8,1987,5846
12055,9,1987,4958
12055,10,1987,8764
12055,11,1987,12292
12055,12,1987,6196
12055,13,1987,1325
12057,1,1987,12814
12057,2,1987,44870
12057,3,1987,54733
12057,4,1987,49967
12057,5,1987,58340
12057,6,1987,67536
12057,7,1987,149911
12057,8,1987,115983
12057,9,1987,77284
12057,10,1987,70638
12057,11,1987,58830
12057,12,1987,29611
12057,13,1987,7761
12059,1,1987,200
12059,2,1987,791
12059,3,1987,1029
12059,4,1987,1115
12059,5,1987,1256
12059,6,1987,1022
12059,7,1987,2236
12059,8,1987,2024
12059,9,1987,1599
12059,10,1987,1566
12059,11,1987,1393
12059,12,1987,759
12059,13,1987,192
12061,1,1987,1018
12061,2,1987,3517
12061,3,1987,4494
12061,4,1987,4205
