id,year,income
12055,2006,27180
12055,2007,28436
12055,2008,28571
12055,2009,28323
12055,2010,29696
12055,2011,30723
12055,2012,30393
12055,2013,30962
12057,1986,14073
12057,1987,14888
12057,1988,15941
12057,1989,17299
12057,1990,18282
12057,1991,18748
12057,1992,19566
12057,1993,20331
12057,1994,21424
12057,1995,22811
12057,1996,24006
12057,1997,25046
12057,1998,26632
12057,1999,27789
12057,2000,29552
12057,2001,30002
12057,2002,30324
12057,2003,31593
12057,2004,33258
12057,2005,35095
12057,2006,37183
12057,2007,38077
12057,2008,37914
12057,2009,36389
12057,2010,38466
12057,2011,38951
12057,2012,40206
12057,2013,40680
12059,1986,9094
12059,1987,9325
12059,1988,10199
12059,1989,11006
12059,1990,11494
12059,1991,12140
12059,1992,12999
12059,1993,13511
12059,1994,14182
12059,1995,14662
12059,1996,15533
12059,1997,15950
12059,1998,16832
12059,1999,17351
12059,2000,18272
12059,2001,20036
12059,2002,19943
12059,2003,20616
12059,2004,21923
12059,2005,23109
12059,2006,24218
12059,2007,24875
12059,2008,24729
12059,2009,24815
12059,2010,25793
12059,2011,26538
12059,2012,27123
12059,2013,27347
12061,1986,18583
12061,1987,20232
12061,1988,22626
12061,1989,24272
12061,1990,25638
12061,1991,26270
12061,1992,27052
12061,1993,27709
12061,1994,28904
12061,1995,31205
12061,1996,32853
12061,1997,34289
12061,1998,36109
12061,1999,37135
12061,2000,38712
12061,2001,40316
12061,2002,40383
12061,2003,41700
12061,2004,47914
12061,2005,50535
12061,2006,56110
12061,2007,56573
12061,2008,56287
12061,2009,47691
12061,2010,48306
12061,2011,51890
12061,2012,54501
12061,2013,54448
12063,1986,9900
12063,1987,10582
12063,1988,11725
12063,1989,12699
12063,1990,13553
12063,1991,14224
12063,1992,14668
12063,1993,14898
12063,1994,15315
12063,1995,15763
12063,1996,16512
12063,1997,16816
12063,1998,17509
12063,1999,18424
12063,2000,18956
12063,2001,20430
12063,2002,21209
12063,2003,22940
12063,2004,22880
12063,2005,24566
12063,2006,24794
12063,2007,26180
12063,2008,26621
12063,2009,27044
12063,2010,28724
12063,2011,29678
12063,2012,29476
12063,2013,30037
12065,1986,10386
12065,1987,11123
12065,1988,12176
12065,1989,13123
12065,1990,14257
12065,1991,14415
12065,1992,14806
12065,1993,15566
12065,1994,16299
12065,1995,17307
12065,1996,18336
12065,1997,19002
12065,1998,20287
12065,1999,21260
12065,2000,24664
12065,2001,25846
12065,2002,24994
12065,2003,25948
12065,2004,26225
12065,2005,27409
12065,2006,28320
12065,2007,29871
12065,2008,29662
12065,2009,28809
12065,2010,29373
12065,2011,30113
12065,2012,30674
12065,2013,31183
12067,1986,10747
12067,1987,9907
12067,1988,10217
